-5.72 -7.09 -3.13 -3.32 6.01 74.95 86.68 46.23 33.17 2.85 -3.90 -6.91 -6.45 14.44 32.86 51.10 42.25 
-5.66 -7.22 -2.91 -2.71 5.76 75.04 86.89 47.00 33.78 1.78 -3.63 -7.46 -6.19 14.23 33.18 51.40 42.80 
-5.45 -7.22 -2.50 -2.14 5.27 74.95 87.02 47.94 34.36 0.77 -3.16 -8.04 -6.41 15.25 33.37 51.85 43.47 
-5.22 -7.24 -2.11 -1.37 4.78 74.99 87.03 49.31 34.61 -0.39 -2.64 -8.12 -6.71 15.53 33.26 52.13 43.68 
-5.04 -7.50 -1.93 -0.39 4.53 75.33 85.47 49.32 33.47 -1.86 -0.50 -7.66 -6.98 15.00 32.98 52.40 43.84 
-4.82 -7.69 -1.74 0.33 4.19 75.64 84.10 49.34 32.58 -3.53 1.29 -6.82 -7.36 13.95 32.16 52.35 43.49 
-4.80 -7.82 -1.84 1.12 3.67 76.18 84.17 51.09 32.91 -4.76 0.83 -5.85 -7.93 12.17 30.89 51.78 42.73 
-4.72 -7.99 -1.63 1.65 3.16 76.30 84.06 52.15 33.13 -5.57 0.66 -5.17 -8.73 10.38 29.72 51.44 41.90 
-4.51 -8.11 -1.47 2.08 2.65 76.32 85.57 54.22 34.72 -6.35 -1.07 -4.53 -9.58 8.54 28.55 51.32 40.95 
-4.39 -8.18 -1.30 2.50 2.12 76.26 85.49 54.66 34.89 -7.13 -0.91 -4.00 -10.11 6.89 27.91 50.71 40.39 
-4.31 -8.23 -1.15 2.95 1.49 76.24 84.58 54.49 34.58 -8.02 -0.19 -3.73 -10.38 5.58 27.54 50.32 40.11 
-4.29 -8.31 -1.00 3.45 0.84 76.32 83.69 54.39 34.30 -9.05 0.64 -3.56 -10.53 4.47 27.14 50.14 39.81 
-4.28 -8.42 -0.83 4.05 0.17 76.46 82.59 54.31 33.87 -10.24 1.98 -3.65 -10.44 3.76 26.82 50.02 39.70 
-4.20 -8.54 -0.69 4.59 -0.48 76.65 81.45 54.26 33.41 -11.44 3.84 -4.05 -10.08 3.51 26.57 50.02 39.74 
-3.98 -8.64 -0.56 5.22 -1.07 76.89 80.57 54.77 32.91 -12.37 5.15 -4.36 -9.36 3.52 26.55 50.02 39.92 
-3.77 -8.74 -0.42 5.96 -1.60 77.16 79.43 55.35 32.00 -12.85 5.82 -4.75 -8.70 3.85 26.50 49.87 39.66 
-3.55 -8.85 -0.32 6.78 -2.08 77.42 82.10 61.03 33.77 -11.49 0.42 -3.59 -8.29 4.29 26.78 50.13 39.92 
-3.39 -8.99 -0.25 7.45 -2.50 77.57 81.15 60.97 33.41 -11.39 0.08 -4.66 -7.92 5.05 27.15 50.45 40.57 
-3.18 -9.17 -0.22 7.97 -2.94 77.64 80.75 61.05 33.72 -11.40 -0.26 -5.66 -7.71 5.60 27.41 50.71 41.14 
-2.93 -9.40 -0.19 8.54 -3.35 77.70 80.64 61.41 34.24 -11.32 -0.50 -6.38 -7.48 5.92 27.50 50.77 41.45 
-2.57 -9.66 -0.14 9.26 -3.64 77.77 80.42 61.91 34.47 -11.15 -0.54 -6.91 -7.05 6.39 27.48 50.81 41.66 
-2.24 -9.92 -0.05 10.19 -3.74 77.88 80.03 62.37 34.35 -10.84 -0.55 -7.19 -6.61 6.81 27.46 50.92 41.83 
-1.97 -10.13 0.04 11.17 -3.74 77.93 79.35 62.41 33.88 -10.44 -0.56 -7.20 -6.37 7.38 27.54 51.13 42.08 
-1.71 -10.31 0.09 11.83 -3.78 77.98 78.92 62.07 33.71 -10.05 -0.65 -7.00 -5.62 8.07 27.69 51.37 42.46 
-1.42 -10.48 0.11 12.35 -3.87 77.97 78.10 61.17 33.29 -9.73 -0.77 -6.56 -4.07 9.01 27.41 51.65 43.03 
-1.19 -10.65 0.12 12.62 -3.80 77.95 77.46 60.01 32.95 -9.70 -0.86 -6.02 -2.77 10.38 26.93 52.04 44.03 
-0.99 -10.78 0.12 12.63 -3.93 78.09 77.10 59.19 32.88 -10.02 -0.91 -5.33 -6.04 10.72 26.98 52.55 44.32 
-0.91 -10.88 0.11 12.70 -4.06 78.24 76.58 59.26 32.36 -10.28 -1.50 -5.39 -6.28 11.21 27.84 52.77 45.38 
-0.80 -11.03 0.27 12.90 -3.91 78.08 76.84 59.90 31.85 -10.60 -0.87 -5.36 -6.68 11.26 29.56 52.82 45.73 
-0.73 -11.12 0.40 12.82 -3.67 77.93 77.82 61.50 31.81 -10.84 -0.70 -5.28 -6.90 11.30 29.64 53.14 46.12 
-0.82 -11.09 0.27 11.82 -3.17 77.58 80.10 62.28 32.90 -10.08 -1.41 -4.41 -7.06 11.31 29.80 53.41 46.98 
-0.88 -11.08 0.16 11.41 -3.24 77.55 80.06 63.12 32.43 -9.18 -1.83 -3.75 -7.06 11.28 29.92 53.53 47.29 
-0.82 -11.23 -0.22 10.94 -3.39 77.84 79.64 63.87 31.78 -9.56 -1.20 -4.03 -7.12 10.90 30.06 53.53 46.82 
-0.78 -11.34 -0.29 10.58 -3.60 77.80 79.06 64.46 31.11 -10.27 -1.12 -4.13 -7.11 9.97 29.97 53.30 46.04 
-0.54 -11.24 -0.12 10.22 -3.90 77.76 78.20 64.79 30.40 -12.27 -0.95 -6.46 -7.63 10.35 30.35 53.62 46.52 
-0.46 -11.27 -0.08 10.04 -4.34 77.68 77.44 65.16 30.06 -12.22 -1.15 -7.10 -8.29 9.99 30.56 53.52 46.25 
-0.29 -11.08 -0.03 10.02 -5.08 77.51 76.82 65.54 29.99 -11.84 -1.45 -6.76 -8.70 8.80 29.65 52.89 45.11 
-0.14 -10.88 0.01 10.02 -5.69 77.43 76.94 66.03 30.47 -11.71 -1.95 -6.44 -9.09 7.28 28.76 52.07 43.77 
-0.03 -10.90 0.06 10.34 -5.97 77.47 76.95 66.45 30.84 -12.12 -2.28 -7.56 -7.08 6.71 28.41 51.85 43.39 
0.07 -10.99 0.12 10.76 -6.01 77.57 77.33 66.83 31.49 -12.39 -2.60 -8.99 -7.14 6.32 28.26 51.83 43.41 
0.75 -11.69 0.26 10.67 -5.28 77.65 78.05 67.17 32.49 -11.11 -2.06 -13.37 -7.26 9.44 29.97 53.82 46.69 
0.95 -11.67 0.48 10.86 -4.95 77.68 79.63 67.44 34.11 -10.88 -2.28 -14.35 -7.42 9.35 30.00 54.06 47.02 
1.08 -11.64 0.72 12.41 -5.63 77.58 77.24 67.13 32.85 -10.65 -2.39 -14.86 -7.27 9.29 29.91 54.07 46.98 
1.16 -11.55 0.98 12.88 -5.40 77.62 77.43 66.71 33.21 -10.17 -2.39 -14.97 -7.19 9.30 29.94 54.14 46.88 
1.19 -11.39 1.20 13.33 -5.22 77.63 76.98 65.81 33.00 -9.61 -2.42 -14.77 -7.09 9.39 29.91 54.12 46.67 
1.18 -11.22 1.37 13.63 -5.14 77.69 76.50 64.68 32.77 -8.90 -2.30 -14.23 -7.02 9.65 29.87 54.09 46.69 
1.10 -11.01 1.51 13.58 -5.04 77.74 76.92 63.74 33.26 -8.09 -2.05 -13.13 -6.92 9.99 29.86 54.04 46.64 
0.93 -10.83 1.58 13.44 -5.01 77.71 77.66 62.78 34.04 -7.49 -1.73 -11.74 -6.93 10.70 29.99 54.08 46.97 
0.76 -10.72 1.60 13.49 -4.99 77.64 77.96 61.94 34.36 -7.23 -1.41 -9.82 -6.92 11.66 29.26 54.13 47.59 
0.58 -10.63 1.56 13.56 -4.97 77.60 78.09 61.39 34.42 -7.57 -1.02 -7.60 -6.94 12.81 28.27 54.21 48.27 
0.45 -10.53 1.50 13.24 -4.74 77.57 78.97 61.29 34.94 -8.46 -0.65 -5.16 -6.71 13.18 27.95 54.24 48.06 
0.35 -10.43 1.44 13.08 -4.71 77.48 78.26 61.43 34.23 -9.24 -1.64 -4.13 -6.57 12.67 28.32 53.93 47.78 
0.32 -10.32 1.35 11.42 -3.46 77.56 81.96 61.65 36.19 -9.97 -0.86 -4.36 -6.98 12.40 30.28 53.84 47.78 
0.27 -10.20 1.28 11.23 -3.36 77.65 83.32 63.54 36.74 -10.21 -0.78 -4.79 -7.11 12.11 30.28 53.88 47.84 
0.23 -10.11 1.17 11.08 -3.43 77.85 83.63 65.10 36.42 -10.78 -0.67 -5.17 -7.12 11.81 30.32 54.02 47.76 
0.14 -10.07 1.12 10.74 -3.51 78.08 83.38 66.10 35.78 -11.30 -0.86 -5.79 -7.10 11.37 30.33 54.00 47.40 
0.04 -10.05 1.08 10.46 -3.82 78.27 82.25 66.52 34.71 -11.41 -1.08 -6.81 -7.21 12.21 30.32 54.03 47.36 
-0.12 -10.03 1.09 10.07 -4.13 78.38 81.87 66.80 34.44 -11.45 -1.15 -7.93 -7.23 13.24 30.23 53.97 47.26 
-0.31 -10.00 1.17 9.76 -4.55 78.38 82.34 67.47 35.14 -11.37 -1.35 -9.17 -8.40 13.49 30.11 53.88 47.06 
-0.52 -9.94 1.26 9.29 -4.94 78.39 84.35 68.22 37.46 -11.16 -1.53 -10.45 -9.65 13.69 30.02 53.90 46.99 
-0.62 -9.90 1.34 9.22 -5.36 78.38 85.83 68.74 39.43 -10.98 -1.54 -11.60 -9.73 14.92 29.93 53.97 47.03 
-0.61 -9.85 1.39 9.44 -5.58 78.31 87.12 69.09 41.11 -10.88 -1.59 -12.55 -9.41 15.93 29.81 54.01 47.16 
-0.47 -9.80 1.45 9.86 -5.54 78.18 88.24 69.33 42.39 -10.82 -1.59 -13.25 -7.60 16.74 29.70 54.06 47.29 
-0.30 -9.76 1.51 11.52 -6.28 77.90 85.75 69.43 41.03 -10.68 -1.74 -13.82 -7.51 17.42 29.60 54.10 47.27 
